dataset_uid,dataset_id,gse_id,file_path,file_name,species,reference,group,usage_primary,usage_tags,sample_type,detail_source,condition,detailed_condition
GSE272082/GSM8392674_NIH01,GSM8392674_NIH01,GSE272082,GSE272082/GSM8392674_NIH01.h5mu,GSM8392674_NIH01.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Brain,Healthy/Control,Control
GSE272082/GSM8392675_NIH02,GSM8392675_NIH02,GSE272082,GSE272082/GSM8392675_NIH02.h5mu,GSM8392675_NIH02.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Brain,Healthy/Control,Control
GSE272082/GSM8392676_NIH03,GSM8392676_NIH03,GSE272082,GSE272082/GSM8392676_NIH03.h5mu,GSM8392676_NIH03.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Brain,Healthy/Control,Control
GSE272082/GSM8392677_NIH04,GSM8392677_NIH04,GSE272082,GSE272082/GSM8392677_NIH04.h5mu,GSM8392677_NIH04.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Brain,Healthy/Control,Control
GSE272082/GSM8392678_NIH05,GSM8392678_NIH05,GSE272082,GSE272082/GSM8392678_NIH05.h5mu,GSM8392678_NIH05.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Brain,Healthy/Control,Control
GSE272082/GSM8392679_NIH06,GSM8392679_NIH06,GSE272082,GSE272082/GSM8392679_NIH06.h5mu,GSM8392679_NIH06.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Brain,Healthy/Control,Control
GSE272082/GSM8392680_NIH10,GSM8392680_NIH10,GSE272082,GSE272082/GSM8392680_NIH10.h5mu,GSM8392680_NIH10.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model,Tissue,Brain,Natural Disease,sEOAD
GSE272082/GSM8392681_NIH11,GSM8392681_NIH11,GSE272082,GSE272082/GSM8392681_NIH11.h5mu,GSM8392681_NIH11.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model,Tissue,Brain,Natural Disease,sEOAD
GSE272082/GSM8392682_NIH12,GSM8392682_NIH12,GSE272082,GSE272082/GSM8392682_NIH12.h5mu,GSM8392682_NIH12.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model,Tissue,Brain,Natural Disease,sEOAD
GSE272082/GSM8392683_NIH13,GSM8392683_NIH13,GSE272082,GSE272082/GSM8392683_NIH13.h5mu,GSM8392683_NIH13.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model,Tissue,Brain,Natural Disease,sEOAD
GSE272082/GSM8392684_NIH14,GSM8392684_NIH14,GSE272082,GSE272082/GSM8392684_NIH14.h5mu,GSM8392684_NIH14.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model,Tissue,Brain,Natural Disease,sEOAD
GSE272082/GSM8392685_NIH15,GSM8392685_NIH15,GSE272082,GSE272082/GSM8392685_NIH15.h5mu,GSM8392685_NIH15.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model,Tissue,Brain,Natural Disease,sEOAD
GSE272082/GSM8392686_NIH16,GSM8392686_NIH16,GSE272082,GSE272082/GSM8392686_NIH16.h5mu,GSM8392686_NIH16.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model,Tissue,Brain,Natural Disease,sEOAD
GSE272082/GSM8392687_NIH17,GSM8392687_NIH17,GSE272082,GSE272082/GSM8392687_NIH17.h5mu,GSM8392687_NIH17.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model,Tissue,Brain,Natural Disease,sEOAD
GSE272082/GSM8392688_NIH18,GSM8392688_NIH18,GSE272082,GSE272082/GSM8392688_NIH18.h5mu,GSM8392688_NIH18.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model,Tissue,Brain,Natural Disease,sEOAD
GSE272082/GSM8392689_NIH28,GSM8392689_NIH28,GSE272082,GSE272082/GSM8392689_NIH28.h5mu,GSM8392689_NIH28.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Brain,Healthy/Control,Control
GSE272082/GSM8392690_NIH29,GSM8392690_NIH29,GSE272082,GSE272082/GSM8392690_NIH29.h5mu,GSM8392690_NIH29.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Brain,Healthy/Control,Control
GSE272082/GSM8392691_UT04,GSM8392691_UT04,GSE272082,GSE272082/GSM8392691_UT04.h5mu,GSM8392691_UT04.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Brain,Healthy/Control,Control
GSE272082/GSM8392692_UT09,GSM8392692_UT09,GSE272082,GSE272082/GSM8392692_UT09.h5mu,GSM8392692_UT09.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Brain,Healthy/Control,Control
GSE272082/GSM8392693_UT2105,GSM8392693_UT2105,GSE272082,GSE272082/GSM8392693_UT2105.h5mu,GSM8392693_UT2105.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model,Tissue,Brain,Natural Disease,sEOAD
GSE272082/GSM9294031_NIH30,GSM9294031_NIH30,GSE272082,GSE272082/GSM9294031_NIH30.h5mu,GSM9294031_NIH30.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Brain,Healthy/Control,Control
GSE272187/GSE272187,GSE272187,GSE272187,GSE272187/GSE272187.h5mu,GSE272187.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cell_line;cancer,Cell Line,OCI-AML22 (Cell Line),Natural Disease,AML Model
GSE272707/GSE272707_hSK_1,GSE272707_hSK_1,GSE272707,GSE272707/GSE272707_hSK_1.h5mu,GSE272707_hSK_1.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;induced_model;organoid_or_differentiation_model,Tissue,Kidney Assembloid (Cell Line),Induced Model,Assembloid Model
GSE272707/GSE272707_hSK_2,GSE272707_hSK_2,GSE272707,GSE272707/GSE272707_hSK_2.h5mu,GSE272707_hSK_2.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;induced_model;organoid_or_differentiation_model,Tissue,Kidney Assembloid (Cell Line),Induced Model,Assembloid Model
GSE276177/GSM8492626_margin_2_20M,GSM8492626_margin_2_20M,GSE276177,GSE276177/GSM8492626_margin_2_20M.h5mu,GSM8492626_margin_2_20M.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer;perturbation,Tissue,Glioblastoma Tumor,Natural Disease,Tumor Margin
GSE276177/GSM8492628_tumor_2_20T,GSM8492628_tumor_2_20T,GSE276177,GSE276177/GSM8492628_tumor_2_20T.h5mu,GSM8492628_tumor_2_20T.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer,Tissue,Glioblastoma Tumor,Natural Disease,Tumor
GSE276177/GSM8492630_margin_1_25M,GSM8492630_margin_1_25M,GSE276177,GSE276177/GSM8492630_margin_1_25M.h5mu,GSM8492630_margin_1_25M.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer;perturbation,Tissue,Glioblastoma Tumor,Natural Disease,Tumor Margin
GSE276177/GSM8492632_tumor_3_25T,GSM8492632_tumor_3_25T,GSE276177,GSE276177/GSM8492632_tumor_3_25T.h5mu,GSM8492632_tumor_3_25T.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer,Tissue,Glioblastoma Tumor,Natural Disease,Tumor
GSE276177/GSM8492634_tumor_1_38T,GSM8492634_tumor_1_38T,GSE276177,GSE276177/GSM8492634_tumor_1_38T.h5mu,GSM8492634_tumor_1_38T.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer,Tissue,Glioblastoma Tumor,Natural Disease,Tumor
GSE276786/GSE276786,GSE276786,GSE276786,GSE276786/GSE276786.h5mu,GSE276786.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;induced_model;cell_line,Cell Line,Placental Trophoblast Model (Cell Line),Induced Model,Trophoblast Model
GSE277004/GSM8554306_212454-214122,GSM8554306_212454-214122,GSE277004,GSE277004/GSM8554306_212454-214122.h5mu,GSM8554306_212454-214122.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;induced_model;cell_line;cancer;disease_model;perturbation,Cell Line,Leukemia Stem Cell Model (Cell Line),Induced Model,dTAG-13
GSE277004/GSM8554308_212455-214123,GSM8554308_212455-214123,GSE277004,GSE277004/GSM8554308_212455-214123.h5mu,GSM8554308_212455-214123.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;induced_model;cell_line;cancer;disease_model;perturbation,Cell Line,Leukemia Stem Cell Model (Cell Line),Induced Model,dTAG-13
GSE277004/GSM8554310_212456-214124,GSM8554310_212456-214124,GSE277004,GSE277004/GSM8554310_212456-214124.h5mu,GSM8554310_212456-214124.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;induced_model;cell_line;cancer;disease_model;perturbation,Cell Line,Leukemia Stem Cell Model (Cell Line),Induced Model,Control
GSE277004/GSM8554312_212457-214125,GSM8554312_212457-214125,GSE277004,GSE277004/GSM8554312_212457-214125.h5mu,GSM8554312_212457-214125.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;induced_model;cell_line;cancer;disease_model;perturbation,Cell Line,Leukemia Stem Cell Model (Cell Line),Induced Model,dTAG-13
GSE277004/GSM8554314_212458-214126,GSM8554314_212458-214126,GSE277004,GSE277004/GSM8554314_212458-214126.h5mu,GSM8554314_212458-214126.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;induced_model;cell_line;cancer;disease_model;perturbation,Cell Line,Leukemia Stem Cell Model (Cell Line),Induced Model,Control
GSE277004/GSM8554316_212460-214128,GSM8554316_212460-214128,GSE277004,GSE277004/GSM8554316_212460-214128.h5mu,GSM8554316_212460-214128.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;induced_model;cell_line;cancer;disease_model;perturbation,Cell Line,Leukemia Stem Cell Model (Cell Line),Induced Model,Control
GSE281526/GSE281526_BCM_22_0047_Multiome_fovea,GSE281526_BCM_22_0047_Multiome_fovea,GSE281526,GSE281526/GSE281526_BCM_22_0047_Multiome_fovea.h5mu,GSE281526_BCM_22_0047_Multiome_fovea.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Retina,Healthy/Control,Control
GSE281526/GSE281526_BCM_22_0047_Multiome_macular_s1,GSE281526_BCM_22_0047_Multiome_macular_s1,GSE281526,GSE281526/GSE281526_BCM_22_0047_Multiome_macular_s1.h5mu,GSE281526_BCM_22_0047_Multiome_macular_s1.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Retina,Healthy/Control,Control
GSE281526/GSE281526_BCM_22_0047_Multiome_macular_s2,GSE281526_BCM_22_0047_Multiome_macular_s2,GSE281526,GSE281526/GSE281526_BCM_22_0047_Multiome_macular_s2.h5mu,GSE281526_BCM_22_0047_Multiome_macular_s2.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Retina,Healthy/Control,Control
GSE281526/GSE281526_BCM_22_0200_Multiome_fovea_1,GSE281526_BCM_22_0200_Multiome_fovea_1,GSE281526,GSE281526/GSE281526_BCM_22_0200_Multiome_fovea_1.h5mu,GSE281526_BCM_22_0200_Multiome_fovea_1.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Retina,Healthy/Control,Control
GSE281526/GSE281526_BCM_22_0200_Multiome_fovea_2,GSE281526_BCM_22_0200_Multiome_fovea_2,GSE281526,GSE281526/GSE281526_BCM_22_0200_Multiome_fovea_2.h5mu,GSE281526_BCM_22_0200_Multiome_fovea_2.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Retina,Healthy/Control,Control
GSE281526/GSE281526_BCM_22_0458_Multiome_fovea_s1_1,GSE281526_BCM_22_0458_Multiome_fovea_s1_1,GSE281526,GSE281526/GSE281526_BCM_22_0458_Multiome_fovea_s1_1.h5mu,GSE281526_BCM_22_0458_Multiome_fovea_s1_1.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Retina,Healthy/Control,Control
GSE281526/GSE281526_BCM_22_0458_Multiome_fovea_s1_2,GSE281526_BCM_22_0458_Multiome_fovea_s1_2,GSE281526,GSE281526/GSE281526_BCM_22_0458_Multiome_fovea_s1_2.h5mu,GSE281526_BCM_22_0458_Multiome_fovea_s1_2.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Retina,Healthy/Control,Control
GSE281526/GSE281526_BCM_22_0458_Multiome_fovea_s2,GSE281526_BCM_22_0458_Multiome_fovea_s2,GSE281526,GSE281526/GSE281526_BCM_22_0458_Multiome_fovea_s2.h5mu,GSE281526_BCM_22_0458_Multiome_fovea_s2.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Retina,Healthy/Control,Control
GSE281526/GSE281526_MMD_22_02443_Multiome_macular,GSE281526_MMD_22_02443_Multiome_macular,GSE281526,GSE281526/GSE281526_MMD_22_02443_Multiome_macular.h5mu,GSE281526_MMD_22_02443_Multiome_macular.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Retina,Healthy/Control,Control
GSE281526/GSE281526_MMD_22_16477_Multiome_macular,GSE281526_MMD_22_16477_Multiome_macular,GSE281526,GSE281526/GSE281526_MMD_22_16477_Multiome_macular.h5mu,GSE281526_MMD_22_16477_Multiome_macular.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Retina,Healthy/Control,Control
GSE281526/GSM8554306_212454-214122,GSM8554306_212454-214122,GSE281526,GSE281526/GSM8554306_212454-214122.h5mu,GSM8554306_212454-214122.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Retina,Healthy/Control,Control
GSE281526/GSM8554308_212455-214123,GSM8554308_212455-214123,GSE281526,GSE281526/GSM8554308_212455-214123.h5mu,GSM8554308_212455-214123.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Retina,Healthy/Control,Control
GSE281526/GSM8554310_212456-214124,GSM8554310_212456-214124,GSE281526,GSE281526/GSM8554310_212456-214124.h5mu,GSM8554310_212456-214124.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Retina,Healthy/Control,Control
GSE281526/GSM8554312_212457-214125,GSM8554312_212457-214125,GSE281526,GSE281526/GSM8554312_212457-214125.h5mu,GSM8554312_212457-214125.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Retina,Healthy/Control,Control
GSE281526/GSM8554314_212458-214126,GSM8554314_212458-214126,GSE281526,GSE281526/GSM8554314_212458-214126.h5mu,GSM8554314_212458-214126.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Retina,Healthy/Control,Control
GSE281526/GSM8554316_212460-214128,GSM8554316_212460-214128,GSE281526,GSE281526/GSM8554316_212460-214128.h5mu,GSM8554316_212460-214128.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Retina,Healthy/Control,Control
GSE283606/GSE283606,GSE283606,GSE283606,GSE283606/GSE283606.h5mu,GSE283606.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer,Tissue,Medulloblastoma PDX,Natural Disease,Medulloblastoma PDX
GSE286205/GSM8720909_KRAB_scMulti,GSM8720909_KRAB_scMulti,GSE286205,GSE286205/GSM8720909_KRAB_scMulti.h5mu,GSM8720909_KRAB_scMulti.h5mu,Homo Sapiens,HG19,model_training,model_training,model_training;induced_model;cell_line;perturbation,Cell Line,HAP1 (Cell Line),Induced Model,CRISPRi/KRAB
GSE286205/GSM8720910_KRAB,GSM8720910_KRAB,GSE286205,GSE286205/GSM8720910_KRAB.h5mu,GSM8720910_KRAB.h5mu,Homo Sapiens,HG19,model_training,model_training,model_training;induced_model;cell_line;perturbation,Cell Line,HAP1 (Cell Line),Induced Model,CRISPRi/KRAB
GSE286205/GSM8720912_VP64_scMulti,GSM8720912_VP64_scMulti,GSE286205,GSE286205/GSM8720912_VP64_scMulti.h5mu,GSM8720912_VP64_scMulti.h5mu,Homo Sapiens,HG19,model_training,model_training,model_training;induced_model;cell_line;perturbation,Cell Line,HAP1 (Cell Line),Induced Model,CRISPRa/VP64
GSE286205/GSM8720913_VP64,GSM8720913_VP64,GSE286205,GSE286205/GSM8720913_VP64.h5mu,GSM8720913_VP64.h5mu,Homo Sapiens,HG19,model_training,model_training,model_training;induced_model;cell_line;perturbation,Cell Line,HAP1 (Cell Line),Induced Model,CRISPRa/VP64
GSE286205/GSM8720915_Cas9_scMulti,GSM8720915_Cas9_scMulti,GSE286205,GSE286205/GSM8720915_Cas9_scMulti.h5mu,GSM8720915_Cas9_scMulti.h5mu,Homo Sapiens,HG19,model_training,model_training,model_training;induced_model;cell_line;perturbation,Cell Line,HAP1 (Cell Line),Induced Model,Control
GSE286205/GSM8720916_Cas9,GSM8720916_Cas9,GSE286205,GSE286205/GSM8720916_Cas9.h5mu,GSM8720916_Cas9.h5mu,Homo Sapiens,HG19,model_training,model_training,model_training;induced_model;cell_line;perturbation,Cell Line,HAP1 (Cell Line),Induced Model,Control
GSE286226/GSM8720909_KRAB_scMulti,GSM8720909_KRAB_scMulti,GSE286226,GSE286226/GSM8720909_KRAB_scMulti.h5mu,GSM8720909_KRAB_scMulti.h5mu,Homo Sapiens,HG19,model_training,model_training,model_training;induced_model;cell_line;perturbation,Cell Line,HAP1 (Cell Line),Induced Model,CRISPRi/KRAB
GSE286226/GSM8720910_KRAB,GSM8720910_KRAB,GSE286226,GSE286226/GSM8720910_KRAB.h5mu,GSM8720910_KRAB.h5mu,Homo Sapiens,HG19,model_training,model_training,model_training;induced_model;cell_line;perturbation,Cell Line,HAP1 (Cell Line),Induced Model,CRISPRi/KRAB
GSE286226/GSM8720912_VP64_scMulti,GSM8720912_VP64_scMulti,GSE286226,GSE286226/GSM8720912_VP64_scMulti.h5mu,GSM8720912_VP64_scMulti.h5mu,Homo Sapiens,HG19,model_training,model_training,model_training;induced_model;cell_line;perturbation,Cell Line,HAP1 (Cell Line),Induced Model,CRISPRa/VP64
GSE286226/GSM8720913_VP64,GSM8720913_VP64,GSE286226,GSE286226/GSM8720913_VP64.h5mu,GSM8720913_VP64.h5mu,Homo Sapiens,HG19,model_training,model_training,model_training;induced_model;cell_line;perturbation,Cell Line,HAP1 (Cell Line),Induced Model,CRISPRa/VP64
GSE286226/GSM8720915_Cas9_scMulti,GSM8720915_Cas9_scMulti,GSE286226,GSE286226/GSM8720915_Cas9_scMulti.h5mu,GSM8720915_Cas9_scMulti.h5mu,Homo Sapiens,HG19,model_training,model_training,model_training;induced_model;cell_line;perturbation,Cell Line,HAP1 (Cell Line),Induced Model,Control
GSE286226/GSM8720916_Cas9,GSM8720916_Cas9,GSE286226,GSE286226/GSM8720916_Cas9.h5mu,GSM8720916_Cas9.h5mu,Homo Sapiens,HG19,model_training,model_training,model_training;induced_model;cell_line;perturbation,Cell Line,HAP1 (Cell Line),Induced Model,Control
GSE291282/GSM8832709_D0,GSM8832709_D0,GSE291282,GSE291282/GSM8832709_D0.h5mu,GSM8832709_D0.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cell_line;organoid_or_differentiation_model;cancer,Cell Line,Prostate Cancer Organoid (Cell Line),Natural Disease,Control
GSE291282/GSM8832711_D7_Control,GSM8832711_D7_Control,GSE291282,GSE291282/GSM8832711_D7_Control.h5mu,GSM8832711_D7_Control.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cell_line;organoid_or_differentiation_model;cancer,Cell Line,Prostate Cancer Organoid (Cell Line),Natural Disease,Control
GSE291282/GSM8832713_D7_KD,GSM8832713_D7_KD,GSE291282,GSE291282/GSM8832713_D7_KD.h5mu,GSM8832713_D7_KD.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;induced_model;cell_line;organoid_or_differentiation_model;cancer;disease_model;perturbation,Cell Line,Prostate Cancer Organoid (Cell Line),Induced Model,KMT2D KD
GSE292095/GSM8848833_PDAC01,GSM8848833_PDAC01,GSE292095,GSE292095/GSM8848833_PDAC01.h5mu,GSM8848833_PDAC01.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer,Tissue,Pancreas Tumor,Natural Disease,PDAC
GSE292095/GSM8848835_PDAC02,GSM8848835_PDAC02,GSE292095,GSE292095/GSM8848835_PDAC02.h5mu,GSM8848835_PDAC02.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer,Tissue,Pancreas Tumor,Natural Disease,PDAC
GSE292095/GSM8848837_PDAC03,GSM8848837_PDAC03,GSE292095,GSE292095/GSM8848837_PDAC03.h5mu,GSM8848837_PDAC03.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer,Tissue,Pancreas Tumor,Natural Disease,PDAC
GSE292095/GSM8848839_PDAC04,GSM8848839_PDAC04,GSE292095,GSE292095/GSM8848839_PDAC04.h5mu,GSM8848839_PDAC04.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer,Tissue,Pancreas Tumor,Natural Disease,PDAC
GSE292095/GSM8848841_PDAC05,GSM8848841_PDAC05,GSE292095,GSE292095/GSM8848841_PDAC05.h5mu,GSM8848841_PDAC05.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer,Tissue,Pancreas Tumor,Natural Disease,PDAC
GSE292095/GSM8848843_PDAC06,GSM8848843_PDAC06,GSE292095,GSE292095/GSM8848843_PDAC06.h5mu,GSM8848843_PDAC06.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer,Tissue,Pancreas Tumor,Natural Disease,PDAC
GSE295166/GSE295166_CTRL2_B1,GSE295166_CTRL2_B1,GSE295166,GSE295166/GSE295166_CTRL2_B1.h5mu,GSE295166_CTRL2_B1.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control;cell_line;organoid_or_differentiation_model,Cell Line,Cortical Organoid (Cell Line),Healthy/Control,Control
GSE295166/GSE295166_CTRL3_B1,GSE295166_CTRL3_B1,GSE295166,GSE295166/GSE295166_CTRL3_B1.h5mu,GSE295166_CTRL3_B1.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control;cell_line;organoid_or_differentiation_model,Cell Line,Cortical Organoid (Cell Line),Healthy/Control,Control
GSE295166/GSE295166_SMS2_B1,GSE295166_SMS2_B1,GSE295166,GSE295166/GSE295166_SMS2_B1.h5mu,GSE295166_SMS2_B1.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cell_line;organoid_or_differentiation_model,Cell Line,Cortical Organoid (Cell Line),Natural Disease,SMS
GSE295977/GSM8962762_Multiome1,GSM8962762_Multiome1,GSE295977,GSE295977/GSM8962762_Multiome1.h5mu,GSM8962762_Multiome1.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer,Tissue,Lung Tumor,Natural Disease,Lung Cancer
GSE296599/GSM8973261,GSM8973261,GSE296599,GSE296599/GSM8973261.h5mu,GSM8973261.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer,Tissue,Ovary Tumor,Natural Disease,HGSOC
GSE296943/GSE296943_Control1,GSE296943_Control1,GSE296943,GSE296943/GSE296943_Control1.h5mu,GSE296943_Control1.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control;perturbation,Tissue,Brain,Healthy/Control,Control
GSE296943/GSE296943_Control2,GSE296943_Control2,GSE296943,GSE296943/GSE296943_Control2.h5mu,GSE296943_Control2.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control;perturbation,Tissue,Brain,Healthy/Control,Control
GSE296943/GSE296943_Hand1,GSE296943_Hand1,GSE296943,GSE296943/GSE296943_Hand1.h5mu,GSE296943_Hand1.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;perturbation,Tissue,Brain,Natural Disease,HAND
GSE296943/GSE296943_Hand2,GSE296943_Hand2,GSE296943,GSE296943/GSE296943_Hand2.h5mu,GSE296943_Hand2.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;perturbation,Tissue,Brain,Natural Disease,HAND
GSE297350/GSM8989065,GSM8989065,GSE297350,GSE297350/GSM8989065.h5mu,GSM8989065.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer,Tissue,Ovary Tumor,Natural Disease,HGSOC
GSE297529/GSM8994059_HC01,GSM8994059_HC01,GSE297529,GSE297529/GSM8994059_HC01.h5mu,GSM8994059_HC01.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,PBMC,Healthy/Control,Control
GSE297529/GSM8994060_HC02,GSM8994060_HC02,GSE297529,GSE297529/GSM8994060_HC02.h5mu,GSM8994060_HC02.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,PBMC,Healthy/Control,Control
GSE297529/GSM8994061_HC03,GSM8994061_HC03,GSE297529,GSE297529/GSM8994061_HC03.h5mu,GSM8994061_HC03.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,PBMC,Healthy/Control,Control
GSE297529/GSM8994062_PB01,GSM8994062_PB01,GSE297529,GSE297529/GSM8994062_PB01.h5mu,GSM8994062_PB01.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model,Tissue,PBMC,Natural Disease,COVID-19
GSE297529/GSM8994063_PB02,GSM8994063_PB02,GSE297529,GSE297529/GSM8994063_PB02.h5mu,GSM8994063_PB02.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model,Tissue,PBMC,Natural Disease,COVID-19
GSE297529/GSM8994064_PB03,GSM8994064_PB03,GSE297529,GSE297529/GSM8994064_PB03.h5mu,GSM8994064_PB03.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model,Tissue,PBMC,Natural Disease,COVID-19
GSE297529/GSM8994065_PB04,GSM8994065_PB04,GSE297529,GSE297529/GSM8994065_PB04.h5mu,GSM8994065_PB04.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model,Tissue,PBMC,Natural Disease,COVID-19
GSE297529/GSM8994066_PB05,GSM8994066_PB05,GSE297529,GSE297529/GSM8994066_PB05.h5mu,GSM8994066_PB05.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model,Tissue,PBMC,Natural Disease,COVID-19
GSE297529/GSM8994067_PB06,GSM8994067_PB06,GSE297529,GSE297529/GSM8994067_PB06.h5mu,GSM8994067_PB06.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model,Tissue,PBMC,Natural Disease,COVID-19
GSE297529/GSM8994069_PB08,GSM8994069_PB08,GSE297529,GSE297529/GSM8994069_PB08.h5mu,GSM8994069_PB08.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model,Tissue,PBMC,Natural Disease,COVID-19
GSE297529/GSM8994070_PB09,GSM8994070_PB09,GSE297529,GSE297529/GSM8994070_PB09.h5mu,GSM8994070_PB09.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model,Tissue,PBMC,Natural Disease,COVID-19
GSE297529/GSM8994071_PB10,GSM8994071_PB10,GSE297529,GSE297529/GSM8994071_PB10.h5mu,GSM8994071_PB10.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model,Tissue,PBMC,Natural Disease,COVID-19
GSE297529/GSM8994072_PB11,GSM8994072_PB11,GSE297529,GSE297529/GSM8994072_PB11.h5mu,GSM8994072_PB11.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model,Tissue,PBMC,Natural Disease,COVID-19
